date,description,amount
2024-12-06,Coffee shop,41.36
2024-01-07,Restaurant,64.65
2024-02-08,Pharmacy,154.72
2024-03-09,Pharmacy,92.85
2024-04-10,Amazon order,103.92
2024-05-11,Coffee shop,25.37
2024-06-12,Pharmacy,80.77
2024-07-13,Pharmacy,77.81
2024-08-14,Pharmacy,92.27
2024-09-15,Pharmacy,109.72
2024-10-16,Restaurant,11.49
2024-11-17,Coffee shop,96.97
2024-12-18,Pharmacy,82.64
2024-01-19,Amazon order,108.43
2024-02-20,Restaurant,13.61
2024-03-21,Gas station,30.74
2024-04-22,Pharmacy,61.75
2024-05-23,Gas station,133.89
2024-06-24,Gas station,37.14
2024-07-25,Pharmacy,178.14
2024-08-26,Pharmacy,13.23
2024-09-27,Grocery run,136.5
2024-10-01,Amazon order,161.93
2024-11-02,Coffee shop,45.21
2024-12-03,Grocery run,149.95
2024-01-04,Coffee shop,94.04
2024-02-05,Gas station,15.41
2024-03-06,Coffee shop,129.25
2024-04-07,Gas station,95.11
2024-05-08,Gas station,83.92
2024-06-09,Restaurant,6.53
2024-07-10,Amazon order,79.12
2024-08-11,Pharmacy,53.21
2024-09-12,Grocery run,16.94
2024-10-13,Restaurant,81.52
2024-11-14,Pharmacy,158.32
2024-12-15,Coffee shop,144.79
2024-01-16,Coffee shop,139.66
2024-02-17,Restaurant,175.2
2024-03-18,Coffee shop,144.23
2024-04-19,Amazon order,30.71
2024-05-20,Gas station,35.42
2024-06-21,Gas station,10.48
2024-07-22,Gas station,172.13
2024-08-23,Grocery run,150.76
2024-09-24,Coffee shop,77.22
2024-10-25,Restaurant,72.4
2024-11-26,Restaurant,85.96
2024-12-27,Pharmacy,16.65
2024-01-01,Amazon order,177.86
2024-02-02,Grocery run,97.68
2024-03-03,Gas station,158.28
2024-04-04,Grocery run,102.55
2024-05-05,Pharmacy,70.57
2024-06-06,Gas station,127.18
2024-07-07,Gas station,119.86
2024-08-08,Grocery run,126.29
2024-09-09,Grocery run,138.88
2024-10-10,Amazon order,34.19
2024-11-11,Restaurant,86.1
2024-12-12,Grocery run,52.97
2024-01-13,Gas station,169.62
2024-02-14,Restaurant,113.62
2024-03-15,Gas station,38.52
2024-04-16,Coffee shop,125.73
2024-05-17,Gas station,157.2
2024-06-18,Pharmacy,39.23
2024-07-19,Amazon order,16.58
2024-08-20,Gas station,78.75
2024-09-21,Restaurant,75.98
2024-10-22,Pharmacy,27.54
2024-11-23,Coffee shop,169.73
2024-12-24,Gas station,94.43
2024-01-25,Pharmacy,45.37
2024-02-26,Restaurant,24.69
2024-03-27,Coffee shop,157.58
2024-04-01,Amazon order,54.42
2024-05-02,Coffee shop,123.1
2024-06-03,Pharmacy,43.71
2024-07-04,Pharmacy,72.22
2024-08-05,Pharmacy,109.82
2024-09-06,Pharmacy,116.58
2024-10-07,Gas station,77.76
2024-11-08,Gas station,106.84
2024-12-09,Gas station,55.56
2024-01-10,Amazon order,126.3
2024-02-11,Restaurant,47.07
2024-03-12,Pharmacy,69.97
2024-04-13,Restaurant,161.58
2024-05-14,Gas station,72.3
2024-06-15,Gas station,64.12
2024-07-16,Restaurant,22.37
2024-08-17,Coffee shop,83.75
2024-09-18,Grocery run,19.56
2024-10-19,Amazon order,67.99
2024-11-20,Gas station,9.33
2024-12-21,Restaurant,121.78
2024-01-22,Gas station,178.22
2024-02-23,Coffee shop,121.56
2024-03-24,Grocery run,86.58
2024-04-25,Gas station,33.99
2024-05-26,Restaurant,59.62
2024-06-27,Restaurant,14.72
2024-07-01,Amazon order,43.12
2024-08-02,Coffee shop,178.7
2024-09-03,Pharmacy,80.27
2024-10-04,Grocery run,118.39
2024-11-05,Coffee shop,179.58
2024-12-06,Coffee shop,179.96
2024-01-07,Pharmacy,143.08
2024-02-08,Grocery run,95.14
2024-03-09,Restaurant,40.86
2024-04-10,Amazon order,69.1
2024-05-11,Grocery run,94.74
2024-06-12,Coffee shop,134.56
2024-07-13,Coffee shop,4.63
2024-08-14,Restaurant,142.39
2024-09-15,Gas station,120.75
2024-10-16,Pharmacy,140.58
2024-11-17,Coffee shop,80.23
2024-12-18,Grocery run,6.78
2024-01-19,Amazon order,155.3
2024-02-20,Coffee shop,23.17
2024-03-21,Pharmacy,98.32
2024-04-22,Restaurant,175.5
2024-05-23,Coffee shop,57.07
2024-06-24,Restaurant,103.27
2024-07-25,Coffee shop,103.95
2024-08-26,Grocery run,120.63
2024-09-27,Restaurant,94.15
2024-10-01,Amazon order,55.74
2024-11-02,Grocery run,47.43
2024-12-03,Pharmacy,86.08
2024-01-04,Grocery run,107.64
2024-02-05,Grocery run,102.23
2024-03-06,Pharmacy,28.23
2024-04-07,Coffee shop,146.5
2024-05-08,Restaurant,31.25
2024-06-09,Restaurant,96.39
2024-07-10,Amazon order,75.53
2024-08-11,Restaurant,173.56
2024-09-12,Coffee shop,76.75
2024-10-13,Coffee shop,44.28
2024-11-14,Coffee shop,133.26
2024-12-15,Pharmacy,31.55
2024-01-16,Restaurant,112.88
2024-02-17,Pharmacy,23.4
2024-03-18,Gas station,164.53
2024-04-19,Amazon order,99.6
2024-05-20,Coffee shop,72.6
2024-06-21,Gas station,17.79
2024-07-22,Gas station,98.46
2024-08-23,Pharmacy,61.87
2024-09-24,Pharmacy,39.85
2024-10-25,Restaurant,170.57
2024-11-26,Restaurant,176.75
2024-12-27,Coffee shop,73.42
2024-01-01,Amazon order,56.69
2024-02-02,Restaurant,49.46
2024-03-03,Gas station,18.86
2024-04-04,Pharmacy,71.7
2024-05-05,Pharmacy,62.76
2024-06-06,Coffee shop,12.72
2024-07-07,Restaurant,14.87
2024-08-08,Restaurant,71.26
2024-09-09,Gas station,74.35
2024-10-10,Amazon order,43.19
2024-11-11,Coffee shop,129.51
2024-12-12,Coffee shop,59.34
2024-01-13,Pharmacy,171.37
2024-02-14,Restaurant,135.9
2024-03-15,Pharmacy,133.03
2024-04-16,Gas station,75.56
2024-05-17,Coffee shop,5.25
2024-06-18,Restaurant,66.87
2024-07-19,Amazon order,47.35
2024-08-20,Restaurant,126.11
2024-09-21,Gas station,40.92
2024-10-22,Restaurant,13.86
2024-11-23,Grocery run,91.58
2024-12-24,Restaurant,137.49
2024-01-25,Gas station,13.34
2024-02-26,Coffee shop,41.54
2024-03-27,Restaurant,51.54
2024-04-01,Amazon order,144.03
2024-05-02,Pharmacy,117.91
2024-06-03,Gas station,74.8
2024-07-04,Gas station,104.71
2024-08-05,Coffee shop,19.04
2024-09-06,Grocery run,150.35
2024-10-07,Gas station,9.73
2024-11-08,Grocery run,148.21
2024-12-09,Gas station,117.04
2024-01-10,Amazon order,13.99
2024-02-11,Pharmacy,12.44
2024-03-12,Restaurant,18.75
2024-04-13,Grocery run,167.21
2024-05-14,Coffee shop,112.59
2024-06-15,Grocery run,106.05
2024-07-16,Coffee shop,148.99
2024-08-17,Pharmacy,77.63
2024-09-18,Coffee shop,34.36
2024-10-19,Amazon order,18.69
2024-11-20,Grocery run,70.5
2024-12-21,Pharmacy,123.18
2024-01-22,Coffee shop,82.32
2024-02-23,Coffee shop,151.03
2024-03-24,Gas station,121.26
2024-04-25,Restaurant,129.31
2024-05-26,Coffee shop,73.9
2024-06-27,Restaurant,24.04
2024-07-01,Amazon order,156.76
2024-08-02,Coffee shop,77.01
2024-09-03,Restaurant,28.64
2024-10-04,Coffee shop,31.29
2024-11-05,Gas station,87.14
2024-12-06,Coffee shop,161.8
2024-01-07,Pharmacy,39.25
2024-02-08,Pharmacy,90.88
2024-03-09,Pharmacy,94.03
2024-04-10,Amazon order,88.78
2024-05-11,Restaurant,134.65
2024-06-12,Grocery run,140.04
2024-07-13,Gas station,39.57
2024-08-14,Gas station,148.89
2024-09-15,Gas station,70.35
2024-10-16,Restaurant,124.34
2024-11-17,Pharmacy,105.07
2024-12-18,Pharmacy,67.05
2024-01-19,Amazon order,106.75
2024-02-20,Pharmacy,127.88
2024-03-21,Pharmacy,61.73
2024-04-22,Pharmacy,45.11
2024-05-23,Gas station,65.76
2024-06-24,Pharmacy,105.2
2024-07-25,Gas station,166.22
2024-08-26,Gas station,70.45
2024-09-27,Grocery run,80.16
2024-10-01,Amazon order,112.7
2024-11-02,Restaurant,35.63
2024-12-03,Pharmacy,164.1
2024-01-04,Pharmacy,72.06
2024-02-05,Coffee shop,44.71
2024-03-06,Restaurant,22.01
2024-04-07,Gas station,92.11
2024-05-08,Grocery run,10.17
2024-06-09,Gas station,103.98
2024-07-10,Amazon order,101.06
2024-08-11,Gas station,90.17
2024-09-12,Pharmacy,171.35
2024-10-13,Gas station,145.81
2024-11-14,Coffee shop,47.48
2024-12-15,Grocery run,42.45
2024-01-16,Grocery run,155.56
2024-02-17,Restaurant,64.57
2024-03-18,Grocery run,138.62
2024-04-19,Amazon order,106.51
2024-05-20,Gas station,125.31
2024-06-21,Gas station,23.17
2024-07-22,Gas station,111.05
2024-08-23,Gas station,23.44
2024-09-24,Gas station,7.58
2024-10-25,Restaurant,160.52
2024-11-26,Gas station,54.42
2024-12-27,Restaurant,27.15
2024-01-01,Amazon order,89.34
2024-02-02,Gas station,9.1
2024-03-03,Gas station,170.04
2024-04-04,Grocery run,157.79
2024-05-05,Grocery run,148.66
2024-06-06,Restaurant,154.43
2024-07-07,Restaurant,19.72
2024-08-08,Grocery run,98.08
2024-09-09,Restaurant,140.44
2024-10-10,Amazon order,49.73
2024-11-11,Coffee shop,79.17
2024-12-12,Gas station,118.72
2024-01-13,Restaurant,45.08
2024-02-14,Pharmacy,124.77
2024-03-15,Gas station,132.34
2024-04-16,Restaurant,51.65
2024-05-17,Gas station,159.85
2024-06-18,Coffee shop,171.18
2024-07-19,Amazon order,23.41
2024-08-20,Coffee shop,57.21
2024-09-21,Coffee shop,21.95
2024-10-22,Restaurant,173.16
2024-11-23,Grocery run,178.03
2024-12-24,Gas station,66.24
2024-01-25,Grocery run,14.81
2024-02-26,Coffee shop,28.77
2024-03-27,Pharmacy,104.48
2024-04-01,Amazon order,176.97
2024-05-02,Restaurant,99.45
2024-06-03,Pharmacy,96.75
2024-07-04,Grocery run,19.15
2024-08-05,Gas station,111.8
2024-09-06,Grocery run,158.82
2024-10-07,Coffee shop,77.44
2024-11-08,Pharmacy,37.95
2024-12-09,Pharmacy,9.2
2024-01-10,Amazon order,169.43
2024-02-11,Restaurant,19.67
2024-03-12,Gas station,49.07
2024-04-13,Grocery run,127.57
2024-05-14,Grocery run,175.78
2024-06-15,Grocery run,155.12
2024-07-16,Coffee shop,111.17
2024-08-17,Restaurant,179.39
2024-09-18,Restaurant,111.84
2024-10-19,Amazon order,111.91
2024-11-20,Grocery run,19.21
2024-12-21,Restaurant,31.65
2024-01-22,Coffee shop,23.21
2024-02-23,Gas station,156.95
2024-03-24,Coffee shop,76.9
2024-04-25,Grocery run,150.04
2024-05-26,Restaurant,95.48
2024-06-27,Restaurant,138.93
2024-07-01,Amazon order,122.07
2024-08-02,Coffee shop,4.12
2024-09-03,Coffee shop,172.64
2024-10-04,Grocery run,175.67
2024-11-05,Grocery run,75.74
2024-12-06,Gas station,42.6
2024-01-07,Pharmacy,6.63
2024-02-08,Grocery run,50.16
2024-03-09,Restaurant,69.07
2024-04-10,Amazon order,131.23
2024-05-11,Restaurant,122.78
2024-06-12,Pharmacy,118.68
2024-07-13,Pharmacy,34.92
2024-08-14,Grocery run,41.21
2024-09-15,Pharmacy,88.3
2024-10-16,Gas station,36.53
2024-11-17,Restaurant,49.8
2024-12-18,Restaurant,105.07
2024-01-19,Amazon order,104.92
2024-02-20,Coffee shop,36.48
2024-03-21,Grocery run,15.58
2024-04-22,Restaurant,62.01
2024-05-23,Grocery run,122.65
2024-06-24,Grocery run,99.05
2024-07-25,Coffee shop,124.51
2024-08-26,Restaurant,47.02
2024-09-27,Grocery run,11.91
2024-10-01,Amazon order,102.05
2024-11-02,Grocery run,69.25
2024-12-03,Gas station,16.3
2024-01-04,Coffee shop,178.32
2024-02-05,Pharmacy,180.0
2024-03-06,Pharmacy,142.97
2024-04-07,Grocery run,63.52
2024-05-08,Grocery run,70.79
2024-06-09,Gas station,102.95
2024-07-10,Amazon order,170.13
2024-08-11,Coffee shop,87.75
2024-09-12,Coffee shop,13.16
2024-10-13,Coffee shop,70.95
2024-11-14,Coffee shop,78.77
2024-12-15,Grocery run,29.25
2024-01-16,Grocery run,32.13
2024-02-17,Pharmacy,173.05
2024-03-18,Gas station,64.18
2024-04-19,Amazon order,167.81
2024-05-20,Grocery run,145.43
2024-06-21,Gas station,170.43
2024-07-22,Grocery run,45.77
2024-08-23,Grocery run,159.33
2024-09-24,Pharmacy,68.65
2024-10-25,Coffee shop,166.58
2024-11-26,Grocery run,169.24
2024-12-27,Coffee shop,177.09
2024-01-01,Amazon order,131.68
2024-02-02,Coffee shop,25.67
2024-03-03,Gas station,36.18
2024-04-04,Coffee shop,52.2
2024-05-05,Restaurant,99.1
2024-06-06,Restaurant,81.87
2024-07-07,Restaurant,50.08
2024-08-08,Coffee shop,18.34
2024-09-09,Grocery run,6.91
2024-10-10,Amazon order,166.21
2024-11-11,Restaurant,36.73
2024-12-12,Gas station,116.32
2024-01-13,Coffee shop,55.82
2024-02-14,Restaurant,84.92
2024-03-15,Restaurant,179.54
2024-04-16,Pharmacy,85.85
2024-05-17,Grocery run,29.94
2024-06-18,Pharmacy,176.11
2024-07-19,Amazon order,8.3
2024-08-20,Restaurant,74.49
2024-09-21,Coffee shop,53.59
2024-10-22,Coffee shop,34.45
2024-11-23,Grocery run,173.17
2024-12-24,Coffee shop,42.67
2024-01-25,Pharmacy,111.75
2024-02-26,Coffee shop,85.86
2024-03-27,Grocery run,64.2
2024-04-01,Amazon order,33.27
2024-05-02,Coffee shop,63.24
2024-06-03,Restaurant,102.9
2024-07-04,Pharmacy,48.13
2024-08-05,Gas station,33.28
2024-09-06,Grocery run,159.56
2024-10-07,Restaurant,111.78
2024-11-08,Pharmacy,99.06
2024-12-09,Pharmacy,49.12
2024-01-10,Amazon order,171.09
2024-02-11,Pharmacy,45.07
2024-03-12,Restaurant,154.12
2024-04-13,Grocery run,86.43
2024-05-14,Restaurant,177.28
2024-06-15,Gas station,138.68
2024-07-16,Gas station,45.38
2024-08-17,Restaurant,75.05
2024-09-18,Gas station,53.99
2024-10-19,Amazon order,21.06
2024-11-20,Coffee shop,65.09
2024-12-21,Restaurant,23.73
2024-01-22,Restaurant,118.51
2024-02-23,Coffee shop,120.64
2024-03-24,Pharmacy,51.36
2024-04-25,Restaurant,153.04
2024-05-26,Restaurant,85.36
2024-06-27,Coffee shop,60.23
2024-07-01,Amazon order,116.5
2024-08-02,Coffee shop,116.87
2024-09-03,Coffee shop,53.3
2024-10-04,Pharmacy,12.85
2024-11-05,Gas station,144.79
2024-12-06,Grocery run,106.65
2024-01-07,Pharmacy,144.44
2024-02-08,Gas station,38.3
2024-03-09,Restaurant,22.01
2024-04-10,Amazon order,66.14
2024-05-11,Coffee shop,170.48
2024-06-12,Pharmacy,155.25
2024-07-13,Grocery run,55.15
2024-08-14,Restaurant,92.52
2024-09-15,Grocery run,117.8
2024-10-16,Pharmacy,145.41
2024-11-17,Grocery run,124.58
2024-12-18,Gas station,146.49
2024-01-19,Amazon order,145.02
2024-02-20,Grocery run,24.7
2024-03-21,Pharmacy,57.38
2024-04-22,Grocery run,11.78
2024-05-23,Coffee shop,172.28
2024-06-24,Gas station,86.88
2024-07-25,Restaurant,122.87
2024-08-26,Pharmacy,168.12
2024-09-27,Coffee shop,175.83
2024-10-01,Amazon order,32.12
2024-11-02,Gas station,176.86
2024-12-03,Pharmacy,58.67
2024-01-04,Grocery run,111.42
2024-02-05,Gas station,177.36
2024-03-06,Restaurant,118.22
2024-04-07,Coffee shop,80.77
2024-05-08,Pharmacy,139.28
2024-06-09,Coffee shop,104.17
2024-07-10,Amazon order,170.04
2024-08-11,Pharmacy,43.6
2024-09-12,Gas station,10.88
2024-10-13,Grocery run,91.98
2024-11-14,Grocery run,44.63
2024-12-15,Restaurant,140.45
2024-01-16,Grocery run,94.79
2024-02-17,Gas station,86.15
2024-03-18,Grocery run,8.74
2024-04-19,Amazon order,50.97
2024-05-20,Coffee shop,62.18
2024-06-21,Coffee shop,164.43
2024-07-22,Gas station,97.78
2024-08-23,Restaurant,113.01
2024-09-24,Pharmacy,140.25
2024-10-25,Gas station,23.21
2024-11-26,Grocery run,95.97
2024-12-27,Pharmacy,15.59
2024-01-01,Amazon order,21.01
2024-02-02,Restaurant,12.85
2024-03-03,Restaurant,47.96
2024-04-04,Grocery run,168.17
2024-05-05,Gas station,46.47
2024-06-06,Gas station,74.1
2024-07-07,Gas station,13.18
2024-08-08,Gas station,56.03
2024-09-09,Restaurant,76.93
2024-10-10,Amazon order,75.59
2024-11-11,Grocery run,142.98
2024-12-12,Coffee shop,25.46
2024-01-13,Pharmacy,87.77
2024-02-14,Pharmacy,138.19
2024-03-15,Restaurant,146.32
2024-04-16,Restaurant,162.85
2024-05-17,Gas station,107.18
2024-06-18,Pharmacy,179.53
2024-07-19,Amazon order,96.88
2024-08-20,Grocery run,36.01
2024-09-21,Coffee shop,112.28
2024-10-22,Grocery run,101.03
2024-11-23,Gas station,142.54
2024-12-24,Restaurant,131.91
2024-01-25,Gas station,51.2
2024-02-26,Coffee shop,128.25
2024-03-27,Pharmacy,14.69
2024-04-01,Amazon order,175.76
2024-05-02,Pharmacy,38.12
2024-06-03,Gas station,160.37
2024-07-04,Coffee shop,100.87
2024-08-05,Coffee shop,51.42
2024-09-06,Restaurant,81.02
2024-10-07,Grocery run,179.17
2024-11-08,Pharmacy,104.88
2024-12-09,Grocery run,74.93
2024-01-10,Amazon order,118.34
2024-02-11,Restaurant,75.96
2024-03-12,Coffee shop,129.05
2024-04-13,Grocery run,47.16
2024-05-14,Restaurant,87.37
2024-06-15,Coffee shop,71.44
2024-07-16,Pharmacy,132.55
2024-08-17,Restaurant,22.59
2024-09-18,Grocery run,153.97
2024-10-19,Amazon order,89.65
2024-11-20,Restaurant,157.78
2024-12-21,Coffee shop,63.08
2024-01-22,Coffee shop,42.89
2024-02-23,Restaurant,105.55
2024-03-24,Pharmacy,157.08
2024-04-25,Grocery run,49.31
2024-05-26,Coffee shop,128.62
2024-06-27,Pharmacy,40.44
2024-07-01,Amazon order,120.63
2024-08-02,Grocery run,83.73
2024-09-03,Gas station,41.17
2024-10-04,Coffee shop,76.36
2024-11-05,Gas station,113.48
2024-12-06,Coffee shop,84.1
2024-01-07,Pharmacy,114.09
2024-02-08,Restaurant,84.02
2024-03-09,Pharmacy,123.3
2024-04-10,Amazon order,92.8
2024-05-11,Pharmacy,159.95
2024-06-12,Coffee shop,134.4
2024-07-13,Gas station,44.26
2024-08-14,Restaurant,171.16
2024-09-15,Pharmacy,80.58
2024-10-16,Gas station,43.77
2024-11-17,Coffee shop,98.89
2024-12-18,Gas station,103.14
2024-01-19,Amazon order,72.88
2024-02-20,Pharmacy,64.63
2024-03-21,Pharmacy,49.67
2024-04-22,Restaurant,70.84
2024-05-23,Pharmacy,56.74
2024-06-24,Grocery run,135.55
2024-07-25,Pharmacy,14.52
2024-08-26,Restaurant,13.08
2024-09-27,Grocery run,151.37
2024-10-01,Amazon order,72.86
2024-11-02,Restaurant,176.08
2024-12-03,Gas station,135.41
2024-01-04,Restaurant,88.16
2024-02-05,Gas station,128.12
2024-03-06,Restaurant,75.74
2024-04-07,Grocery run,177.73
2024-05-08,Grocery run,136.48
2024-06-09,Restaurant,61.16
2024-07-10,Amazon order,131.88
2024-08-11,Coffee shop,52.3
2024-09-12,Restaurant,64.4
2024-10-13,Pharmacy,61.56
2024-11-14,Pharmacy,120.74
2024-12-15,Gas station,163.49
2024-01-16,Pharmacy,122.98
2024-02-17,Coffee shop,110.63
2024-03-18,Pharmacy,85.46
2024-04-19,Amazon order,102.07
2024-05-20,Pharmacy,104.22
2024-06-21,Gas station,66.06
2024-07-22,Coffee shop,17.26
2024-08-23,Gas station,100.08
2024-09-24,Grocery run,125.48
2024-10-25,Grocery run,70.91
2024-11-26,Gas station,29.78
2024-12-27,Restaurant,98.57
2024-01-01,Amazon order,8.25
2024-02-02,Gas station,74.02
2024-03-03,Pharmacy,30.15
2024-04-04,Gas station,114.24
2024-05-05,Restaurant,47.95
2024-06-06,Grocery run,8.48
2024-07-07,Coffee shop,116.11
2024-08-08,Coffee shop,134.06
2024-09-09,Gas station,7.68
2024-10-10,Amazon order,14.13
2024-11-11,Restaurant,8.94
2024-12-12,Gas station,155.28
2024-01-13,Grocery run,113.94
2024-02-14,Gas station,127.08
2024-03-15,Gas station,146.83
2024-04-16,Grocery run,152.85
2024-05-17,Gas station,8.87
2024-06-18,Restaurant,53.53
2024-07-19,Amazon order,92.93
2024-08-20,Gas station,43.32
2024-09-21,Grocery run,109.95
2024-10-22,Gas station,30.44
2024-11-23,Gas station,142.68
2024-12-24,Pharmacy,34.91
2024-01-25,Grocery run,165.1
2024-02-26,Grocery run,87.27
2024-03-27,Restaurant,128.33
2024-04-01,Amazon order,42.03
2024-05-02,Gas station,157.52
2024-06-03,Grocery run,88.32
2024-07-04,Coffee shop,44.26
2024-08-05,Coffee shop,153.62
2024-09-06,Coffee shop,138.93
2024-10-07,Restaurant,169.63
2024-11-08,Coffee shop,20.76
2024-12-09,Coffee shop,108.46
2024-01-10,Amazon order,138.06
2024-02-11,Pharmacy,109.62
2024-03-12,Pharmacy,15.03
2024-04-13,Coffee shop,77.5
2024-05-14,Restaurant,35.05
2024-06-15,Gas station,11.71
2024-07-16,Grocery run,126.41
2024-08-17,Gas station,13.45
2024-09-18,Gas station,42.9
2024-10-19,Amazon order,7.61
2024-11-20,Grocery run,67.36
2024-12-21,Grocery run,166.59
2024-01-22,Gas station,49.93
2024-02-23,Coffee shop,68.11
2024-03-24,Pharmacy,108.2
2024-04-25,Gas station,34.46
2024-05-26,Grocery run,152.9
2024-06-27,Pharmacy,123.22
2024-07-01,Amazon order,37.43
2024-08-02,Restaurant,160.13
2024-09-03,Restaurant,144.73
2024-10-04,Pharmacy,125.86
2024-11-05,Restaurant,46.98
2024-12-06,Pharmacy,67.76
2024-01-07,Gas station,86.47
2024-02-08,Restaurant,105.26
2024-03-09,Grocery run,54.16
2024-04-10,Amazon order,56.13
2024-05-11,Pharmacy,9.61
2024-06-12,Coffee shop,113.18
2024-07-13,Gas station,95.84
2024-08-14,Gas station,156.88
2024-09-15,Restaurant,124.32
2024-10-16,Gas station,135.04
2024-11-17,Pharmacy,19.93
2024-12-18,Restaurant,101.31
2024-01-19,Amazon order,158.96
2024-02-20,Grocery run,17.09
2024-03-21,Grocery run,98.05
2024-04-22,Gas station,99.66
2024-05-23,Restaurant,101.88
2024-06-24,Coffee shop,155.71
2024-07-25,Restaurant,66.79
2024-08-26,Coffee shop,97.6
2024-09-27,Coffee shop,6.36
2024-10-01,Amazon order,30.09
2024-11-02,Pharmacy,129.82
2024-12-03,Coffee shop,82.79
2024-01-04,Pharmacy,108.11
2024-02-05,Restaurant,108.17
2024-03-06,Restaurant,128.88
2024-04-07,Coffee shop,85.66
2024-05-08,Grocery run,122.66
2024-06-09,Grocery run,168.71
2024-07-10,Amazon order,118.81
2024-08-11,Gas station,178.19
2024-09-12,Restaurant,7.14
2024-10-13,Grocery run,130.99
2024-11-14,Grocery run,110.3
2024-12-15,Grocery run,138.09
